Name,Release_date,Players,Genre,Metascore,Rating_Metascore,User_score,Rating_User_score,Awards,Distributor,Developer,Rating,Consoles,Summary
Tony Hawk's Pro Skater 3,2001-10-28,1-2,"Sports, Alternative, Skateboarding",97,34,7.5,424,#1 Best PS2 Game of 2001,Activision,Neversoft Entertainment,T,"PlayStation 2, PC",Challenge up to four friends in online competitions over a LAN or the Internet.  Take them on in both Trick Attack and Graffiti modes. [Act
Perfect Dark,2000-05-22,,"Action, Shooter, First-Person, Sci-Fi",97,30,8.8,453,#1 Best N64 Game of 2000,Nintendo,Rare Ltd.,M,Nintendo 64,"Step into the Dark... As Carrington Institute's most promising new Agent, Joanna Dark must uncover the truth behind the dataDyne Corporation's recent technological breakthroughs - breakthroughs which could have serious consequences for "
Disco Elysium: The Final Cut,2021-03-30,No Online Multiplayer,"Role-Playing, General",97,10,8.3,341,"#1 Best PC Game of 2021, #12 Most Discussed PC Game of 2021",ZA/UM,ZA/UM,M,"PC, iPhone/iPad, PlayStation 4, PlayStation 5, Stadia","Disco Elysium - The Final Cut is the definitive edition of the smash-hit RPG. Pursue your political dreams in new quests, meet and question more of the city's locals, and explore a whole extra area. Full voice-acting, controller support, and expanded language options also included. Get evenDisco Elysium - The Final Cut is the definitive edition of the smash-hit RPG. Pursue your political dreams in new quests, meet and question more of the city's locals, and explore a whole extra area. Full voice-acting, controller support, and expanded language options also included. Get even more out of this award-winning open world. You're a detective with a unique skill system at your disposal and a whole city block to carve your path across. Interrogate unforgettable characters, crack murders, or take bribes. Become a hero or an absolute disaster of a human being."
Metroid Prime,2002-11-17,1 Player,"Action, Shooter, First-Person, Sci-Fi",97,70,8.6,1273,#1 Best GameCube Game of 2002,Nintendo,Retro Studios,T,GameCube,"Samus returns in a new mission to unravel the mystery behind the ruined walls scattered across Tallon IV. In Metroid Prime, you'll play the role of this bounty hunter and view the world through her visor, which displays information ranging from current energy levels to ammunition. EquippedSamus returns in a new mission to unravel the mystery behind the ruined walls scattered across Tallon IV. In Metroid Prime, you'll play the role of this bounty hunter and view the world through her visor, which displays information ranging from current energy levels to ammunition. Equipped with a Power Beam and Gravity Suit, you must shoot locked switches, solve puzzles, and eliminate enemies. It's up to you to explore the world and recover more power-ups and weapons, which gradually open more gameplay areas."
Grand Theft Auto III,2001-10-22,1 Player,"Action Adventure, Modern",97,56,8.4,973,#2 Best PS2 Game of 2001,Rockstar Games,DMA Design,M,"PlayStation 2, PC, PlayStation 4","Players are put at the heart of their very own gangster movie, and let loose in a fully-realised 3 dimensional city with a cast of hundreds, 50 plus vehicles, ranging from sports cars to ice cream trucks and from boats to buses, 3 hours of music, including opera, reggae, house, drum andPlayers are put at the heart of their very own gangster movie, and let loose in a fully-realised 3 dimensional city with a cast of hundreds, 50 plus vehicles, ranging from sports cars to ice cream trucks and from boats to buses, 3 hours of music, including opera, reggae, house, drum and bass, pop and disco, and a huge array of street ready weapons.  [Rockstar Games]"
Super Mario Odyssey,2017-10-27,No Online Multiplayer,"Action, Platformer, 3D",97,113,8.9,6189,"#2 Best Switch Game of 2017, #2 Most Discussed Switch Game of 2017, #2 Most Shared Switch Game of 2017",Nintendo,Nintendo,E10+,Switch,"New Evolution of Mario Sandbox-Style Gameplay. Mario embarks on a new journey through unknown worlds, running and jumping through huge 3D worlds in the first sandbox-style Mario game since Super Mario 64 and Super Mario Sunshine. Set sail between expansive worlds aboard an airship, andNew Evolution of Mario Sandbox-Style Gameplay. Mario embarks on a new journey through unknown worlds, running and jumping through huge 3D worlds in the first sandbox-style Mario game since Super Mario 64 and Super Mario Sunshine. Set sail between expansive worlds aboard an airship, and perform all-new actions, such as throwing Mario's cap."
Halo: Combat Evolved,2001-11-14,1-4,"Action, Shooter, First-Person, Sci-Fi",97,68,8.7,2585,#1 Best Xbox Game of 2001,Microsoft Game Studios,Bungie Software,M,"Xbox, PC","Enter the mysterious world of Halo, an alien planet shaped like a ring.  As mankind's super soldier Master Chief, you must uncover the secrets of Halo and fend off the attacking Covenant.  During your missions, you'll battle on foot, in vehicles, inside, and outside with alien and humanEnter the mysterious world of Halo, an alien planet shaped like a ring.  As mankind's super soldier Master Chief, you must uncover the secrets of Halo and fend off the attacking Covenant.  During your missions, you'll battle on foot, in vehicles, inside, and outside with alien and human weaponry.  Your objectives include attacking enemy outposts, raiding underground labs for advanced technology, rescuing fallen comrades, and sniping enemy forces.  Halo also lets you battle three other players via intense split screen combat or fight cooperatively with a friend through the single-player missions.  "
NFL 2K1,2000-09-07,,"Sports, Traditional, Football, Sim",97,22,6.2,76,#2 Best Dreamcast Game of 2000,Sega,Visual Concepts,E,Dreamcast,"In the end, NFL 2K1 is a deeper, more refined version of the origin"
Half-Life 2,2004-11-16,No Online Multiplayer,"Action, Shooter, First-Person, Sci-Fi, Arcade",96,81,9.2,11707,"#1 Best PC Game of 2004, #1 Most Discussed PC Game of 2004, #1 Most Shared PC Game of 2004",VU Games,Valve Software,M,PC,"[Metacritic's 2004 PC Game of the Year]  By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around him, from the physical environment[Metacritic's 2004 PC Game of the Year]  By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around him, from the physical environment to the behaviors -- even the emotions -- of both friends and enemies. The player again picks up the crowbar of research scientist Gordon Freeman, who finds himself on an alien-infested Earth being picked to the bone, its resources depleted, its populace dwindling. Freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at Black Mesa. And a lot of people -- people he cares about -- are counting on him. [Vivendi Universal]"
BioShock,2007-08-21,No Online Multiplayer,"Action, Shooter, First-Person, Sci-Fi, Arcade",96,88,8.7,2744,"#1 Best Xbox 360 Game of 2007, #2 Most Discussed Xbox 360 Game of 2007, #1 Most Shared Xbox 360 Game of 2007",2K Games,"Irrational Games, 2K Marin",M,"Xbox 360, iPhone/iPad, PC, PlayStation 3","[Metacritic's 2007 Xbox 360 Game of the Year] Going beyond ""run and gun corridors,"" ""monster-closet AIs"" and static worlds, BioShock creates a living, unique and unpredictable FPS experience. After your plane crashes into icy uncharted waters, you discover a rusted bathysphere and descend[Metacritic's 2007 Xbox 360 Game of the Year] Going beyond ""run and gun corridors,"" ""monster-closet AIs"" and static worlds, BioShock creates a living, unique and unpredictable FPS experience. After your plane crashes into icy uncharted waters, you discover a rusted bathysphere and descend into Rapture, a city hidden beneath the sea. Constructed as an idealistic society for a hand picked group of scientists, artists and industrialists, the idealism is no more. Now the city is littered with corpses, wildly powerful guardians roam the corridors as little girls loot the dead, and genetically mutated citizens ambush you at every turn. Take control of your world by hacking mechanical devices, commandeering security turrets and crafting unique items critical to your very survival. Upgrade your weapons with ionic gels, explosives and toxins to customize them to the enemy and environment. Genetically modify your body through dozens of Plasmid Stations scattered throughout the city, empowering you with fantastic and often grotesque abilities. Explore a living world powered by Ecological A.I., where the inhabitants have interesting and consequential relationships with one another that impact your gameplay experience. Experience truly next generation graphics that vividly illustrate the forlorn art deco city, highlighted by the most detailed and realistic water effects ever developed in a video game. Make meaningful choices and mature decisions, ultimately culminating in the grand question: do you exploit the innocent survivors of Rapture...or save them? [2K Games]"
GoldenEye 007,1997-08-25,1-4,"Action, Shooter, First-Person, Modern",96,21,9.0,729,#1 Best N64 Game of 1997,Nintendo,Rare Ltd.,T,Nintendo 64,You are Bond. James Bond. You are assigned covert operations connected with the GoldenEye weapons satellite. M will brief you on your mission and objectives from London. Q Branch will support your efforts with a plentiful supply of weapons and gadgets. Moneypenny offers you light-heartedYou are Bond. James Bond. You are assigned covert operations connected with the GoldenEye weapons satellite. M will brief you on your mission and objectives from London. Q Branch will support your efforts with a plentiful supply of weapons and gadgets. Moneypenny offers you light-hearted best wishes and you're off! Your mission begins in the heavily guarded chemical warfare facility at the Byelomorye Dam in the USSR. Look and shoot in any direction as you navigate 12 interactive 3-D environments. Use stealth and force as you see fit in matters of international security. Consider the military personnel expendable. You are licensed to kill!
Uncharted 2: Among Thieves,2009-10-13,No Online Multiplayer,"Action Adventure, Modern, Linear",96,105,8.8,7086,"#1 Best PS3 Game of 2009, #1 Most Discussed PS3 Game of 2009, #1 Most Shared PS3 Game of 2009",SCEA,Naughty Dog,T,PlayStation 3,"Fortune hunter Nathan Drake returns in Uncharted 2: Among Thieves, a third-person action-adventure/shooter created by award-winning developer Naughty Dog. Down on his luck, Drake is lured back into the treacherous world of thieves and mercenary treasure-seekers he had sought to leave behind.Fortune hunter Nathan Drake returns in Uncharted 2: Among Thieves, a third-person action-adventure/shooter created by award-winning developer Naughty Dog. Down on his luck, Drake is lured back into the treacherous world of thieves and mercenary treasure-seekers he had sought to leave behind. When a mysterious artifact propels Drake on an expedition to find the legendary Himalayan valley of Shambhala, he finds himself embroiled in a dangerous game of cat-and-mouse against a fugitive war criminal who’s after more than just the fabled riches of the lost city. Caught in a web of deception and plunged into an increasingly deadly pursuit that tests the limits of his endurance, Drake will be forced to risk everything - but has his luck finally run out? [SCEA]"
Resident Evil 4,2005-01-11,1 Player,"Action Adventure, Horror",96,82,9.2,1726,#1 Best GameCube Game of 2005,Capcom,Capcom,M,"GameCube, PC","Resident Evil 4 marks a new chapter in the Resident Evil series. You'll rejoin Leon S. Kennedy six years after his first mission as a rookie cop from Resident Evil 2. Now a US agent, Leon is on a top secret mission to investigate the disappearance of the president's daughter. As Leon, youResident Evil 4 marks a new chapter in the Resident Evil series. You'll rejoin Leon S. Kennedy six years after his first mission as a rookie cop from Resident Evil 2. Now a US agent, Leon is on a top secret mission to investigate the disappearance of the president's daughter. As Leon, you must make your way to a mysterious location in Europe, where new enemies await. Take them down by using enhanced aim-and-shoot features and a new action button."
The Orange Box,2007-10-10,Up to 16,"Action, Miscellaneous, Shooter, Compilation, First-Person, Sci-Fi",96,54,9.0,1019,"#2 Best Xbox 360 Game of 2007, #6 Most Discussed Xbox 360 Game of 2007, #6 Most Shared Xbox 360 Game of 2007",EA Games,Valve Software,M,"Xbox 360, PC, PlayStation 3","Games included in The Orange Box compilation: The original Half-Life 2 - The player again picks up the crowbar of research scientist Gordon Freeman, who finds himself on an alien-infested Earth being picked to the bone, its resources depleted, its populace dwindling. Freeman is thrust intoGames included in The Orange Box compilation: The original Half-Life 2 - The player again picks up the crowbar of research scientist Gordon Freeman, who finds himself on an alien-infested Earth being picked to the bone, its resources depleted, its populace dwindling. Freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at Black Mesa. And a lot of people - people he cares about - are counting on him. Half-Life 2: Episode One - The player reprises his role of Dr. Freeman, who must immediately face the repercussions of his actions in City 17 and the Citadel. Freeman reconnects with Alyx Vance and her robot, Dog, as they continue their support of the resistance's battle against the Combine forces.  Half-Life 2: Episode Two -- the second installment in Valve's episodic trilogy advances the award-winning story, leading the player to new locations outside of City 17. Portal - a pioneering type of single player action game that rewrites the rules for how players approach and manipulate their environment – much like how Half-Life 2's Gravity Gun reinvented the way gamers interact with objects in the game. Team Fortress 2 - an all-new version of the legendary title that spawned team based multiplayer action games. The game's daring new art style features the most advanced graphics of any Source-based game released to date. [Valve Software]"
Batman: Arkham City,2011-10-18,No Online Multiplayer,"Action Adventure, Fantasy, Open-World",96,42,8.8,2971,"#1 Best PS3 Game of 2011, #6 Most Discussed PS3 Game of 2011, #1 Most Shared PS3 Game of 2011",Warner Bros. Interactive Entertainment,Rocksteady Studios,T,"PlayStation 3, PC, Xbox 360","Developed by Rocksteady Studios, Batman: Arkham City builds upon the intense, atmospheric foundation of Batman: Arkham Asylum, sending players soaring into Arkham City, the new maximum security ""home"" for all of Gotham City's thugs, gangsters and insane criminal masterminds. Set inside theDeveloped by Rocksteady Studios, Batman: Arkham City builds upon the intense, atmospheric foundation of Batman: Arkham Asylum, sending players soaring into Arkham City, the new maximum security ""home"" for all of Gotham City's thugs, gangsters and insane criminal masterminds. Set inside the heavily fortified walls of a sprawling district in the heart of Gotham City, this highly anticipated sequel introduces a brand-new story that draws together a new all-star cast of classic characters and murderous villains from the Batman universe, as well as a vast range of new and enhanced gameplay features to deliver the ultimate experience as the Dark Knight. "
Tekken 3,1998-04-29,1-2,"Action, Fighting, 3D",96,15,9.1,721,#1 Best PS1 Game of 1998,Namco,Namco,T,PlayStation,"An ancient evil force has reawakened, attacking in secret and feeding on the souls of mighty warriors. To lure it out of hiding will take the greatest fighting contest the world has ever seen...Tekken 3. Some are fighting for revenge, some for honor, Ultimately, all are fighting for theirAn ancient evil force has reawakened, attacking in secret and feeding on the souls of mighty warriors. To lure it out of hiding will take the greatest fighting contest the world has ever seen...Tekken 3. Some are fighting for revenge, some for honor, Ultimately, all are fighting for their lives and the fate of all mankind."
Mass Effect 2,2010-01-26,No Online Multiplayer,"Role-Playing, Action RPG",96,98,8.9,3563,"#1 Best Xbox 360 Game of 2010, #2 Most Discussed Xbox 360 Game of 2010, #8 Most Shared Xbox 360 Game of 2010",Electronic Arts,BioWare,M,"Xbox 360, PC, PlayStation 3","The Mass Effect trilogy is a science fiction adventure set in a vast universe filled with dangerous alien life forms and mysterious uncharted planets. In this dark second chapter, Saren’s evil army of Geth soldiers has just been defeated, and humans, who are still struggling to make theirThe Mass Effect trilogy is a science fiction adventure set in a vast universe filled with dangerous alien life forms and mysterious uncharted planets. In this dark second chapter, Saren’s evil army of Geth soldiers has just been defeated, and humans, who are still struggling to make their mark on the galactic stage, are now faced with an even greater peril. [BioWare]"
The Legend of Zelda: Twilight Princess,2006-12-11,1 Player,"Action Adventure, Fantasy",96,16,8.9,894,#1 Best GameCube Game of 2006,Nintendo,Nintendo,T,GameCube,"In the next chapter in the Legend of Zelda series, Link can transform into a wolf to scour the darkened land of Hyrule. With the help of Midna, a mysterious being, you must guide Link through hordes of foul creatures and challenging bosses using new moves and a new horseback combat system.In the next chapter in the Legend of Zelda series, Link can transform into a wolf to scour the darkened land of Hyrule. With the help of Midna, a mysterious being, you must guide Link through hordes of foul creatures and challenging bosses using new moves and a new horseback combat system.  Many puzzles stand between Link and the fulfillment of his quest, so you must sharpen your wits as you hunt for weapons and items."
The Elder Scrolls V: Skyrim,2011-11-11,No Online Multiplayer,"Role-Playing, First-Person, Western-Style",96,89,8.6,4101,"#1 Best Xbox 360 Game of 2011, #2 Most Discussed Xbox 360 Game of 2011, #1 Most Shared Xbox 360 Game of 2011",Bethesda Softworks,Bethesda Game Studios,M,"Xbox 360, PC, PlayStation 3","The next chapter in the Elder Scrolls saga arrives from the Bethesda Game Studios. Skyrim reimagines the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; theThe next chapter in the Elder Scrolls saga arrives from the Bethesda Game Studios. Skyrim reimagines the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before. Skyrim's new game engine brings to life a complete virtual world with rolling clouds, rugged mountains, bustling cities, lush fields, and ancient dungeons. Choose from hundreds of weapons, spells, and abilities. The new character system allows you to play any way you want and define yourself through your actions. Battle ancient dragons like you've never seen. As Dragonborn, learn their secrets and harness their power for yourself."
Half-Life,1998-11-19,Online Multiplayer,"Action, Shooter, First-Person, Sci-Fi, Arcade",96,24,9.1,5050,"#1 Best PC Game of 1998, #1 Most Discussed PC Game of 1998, #1 Most Shared PC Game of 1998",Sierra Entertainment,Valve Software,M,"PC, PlayStation 2","Half-Life combines great storytelling in the tradition of Stephen King with intense action and advanced technology to create a frighteningly realistic world where players need to think smart to survive. Half-Life has won more than 50 Game of the Year awards from publications around theHalf-Life combines great storytelling in the tradition of Stephen King with intense action and advanced technology to create a frighteningly realistic world where players need to think smart to survive. Half-Life has won more than 50 Game of the Year awards from publications around the world, and was named 'Best PC Game Ever' in PC Gamer's November 1999 issue. [Sierra]"
The Legend of Zelda: The Wind Waker,2003-03-24,1 Player,"Action Adventure, Fantasy",96,80,9.0,1461,#1 Best GameCube Game of 2003,Nintendo,Nintendo,E,GameCube,"In this ninth entry in the Legend of Zelda series, Link debuts on GameCube with a fun new cel-shaded look, but the game stays true to the respected heritage of the series. The classic mix of sword-swinging action, perplexing puzzles and stirring story lines remains intact, but the stunningIn this ninth entry in the Legend of Zelda series, Link debuts on GameCube with a fun new cel-shaded look, but the game stays true to the respected heritage of the series. The classic mix of sword-swinging action, perplexing puzzles and stirring story lines remains intact, but the stunning cel-shaded graphics give the people and places of Link's watery world a wildly artistic new look. And for the very first time, Link sails freely on the high seas. Join Link on his most epic and scenic adventure yet. Face unimaginable monsters, explore puzzling dungeons, and meet a cast of unforgettable characters as he searches for his kidnapped sister, Aryll. "
Gran Turismo,1998-04-30,1-2,"Driving, Racing, GT / Street",96,16,8.6,304,#2 Best PS1 Game of 1998,SCEA,Polyphony Digital,E,PlayStation,"Welcome to the most advanced racing game ever created! Encounter exhilarating high-speed racing in 11 stunning environments. Feel handling agility and throttle response so convincing, the car seems to be an extension of yourself. Experience the extraordinary world of Gran "
Metal Gear Solid 2: Sons of Liberty,2001-11-12,1 Player,"Action Adventure, Modern",96,42,8.8,1655,#3 Best PS2 Game of 2001,Konami,KCEJ,M,PlayStation 2,"Since the incident on Shadow Moses Island, Metal Gear's top-secret technology has been leaked into the black market through the machinations of Revolver Ocelot. As a result, countless variations of Metal Gears have sprung up in every corner of the globe, making the weapon an increasinglySince the incident on Shadow Moses Island, Metal Gear's top-secret technology has been leaked into the black market through the machinations of Revolver Ocelot. As a result, countless variations of Metal Gears have sprung up in every corner of the globe, making the weapon an increasingly common component of the armed forces of nuclear powers. In the midst of all of this, Solid Snake, now a member of the anti-Metal Gear group ""Philanthropy,"" has learned that a new prototype Metal Gear has been developed by the U.S. Marines and is being transported in secret to an unknown destination. To learn more about this new machine, Snake must infiltrate the transport, disguised as a tanker, as it makes its way down the Hudson River. Just as Snake is about to begin his mission, however, the ship is seized by a mysterious and well-armed group bent on stealing the new Metal Gear for their own, nefarious purposes. [Konami]"
Grand Theft Auto Double Pack,2003-10-31,1 Player,"Miscellaneous, Compilation",96,33,8.1,97,#1 Best Xbox Game of 2003,Rockstar Games,Rockstar North,M,"Xbox, PlayStation 2","From the dark and seedy streets of Liberty City's underworld to the glamorous hedonism of Vice City of the 1980s, the Grand Theft Auto double-pack takes you through the huge worlds of Grand Theft Auto III and it's sequel Vice City. The highly controversial Grand Theft Auto III gives you theFrom the dark and seedy streets of Liberty City's underworld to the glamorous hedonism of Vice City of the 1980s, the Grand Theft Auto double-pack takes you through the huge worlds of Grand Theft Auto III and it's sequel Vice City. The highly controversial Grand Theft Auto III gives you the freedom to go anywhere and jack anyone, putting the dark, intriguing and ruthless world of crime at your fingertips. Vice City is an entirely new game set in the '80s, preserving and adding to the free-roaming gameplay, cinematic graphics and immersive audio experience that made the Grand Theft Auto III so popular."
